content,clean_content,score,label,predicted_sentiment,platform
"Skg shopee mahal misal harga barang 50.000 nanti pas harga akhir setelah cekout jd 54.000 tambah biaya penanganan biaya layanan bla bla trs apa dong gunanya voucher potongan harga nempel otomatis kalau harga awal sm harga cekout mahalan harga cekout ??kadang cuma motong 2000. kalau dulu ada potongan 20-50% bener bener motong separuh harga barang,sampe bisa di jual lagi ,skrg voucher banyak meski nempel mulu tapi gak kepake juga krna tidak sesuai harga awal sm cekout akhir",skg shopee mahal misal harga barang pas harga akhir cekout jadi tambah biaya tangan biaya layan bla bla trs apa dong guna voucher potong harga nempel otomatis kalau harga awal sm harga cekout mahal harga cekout kadang cuma motong kalau dulu potong bener bener motong paruh harga barang sampe di jual skrg voucher banyak meski nempel mulu kepake karena tidak sesuai harga awal sm cekout akhir,2.0,Negatif,Negatif,Shopee
Tingkat kan lagi soalnya lelet trus pas buka dn live,tingkat kan soal lelet trus pas buka dn live,2.0,Negatif,Positif,Shopee
"Mau daftar akun aja erorr2 mulu, nggk jdi instal",mau daftar akun erorr mulu nggk jdi instal,2.0,Negatif,Negatif,Tokopedia
Sangat baik sekali Dan memuaskan,sangat baik sekali muas,5.0,Positif,Positif,Tokopedia
Kereeen aplikasi sangat berguna bagi kebutuhan,kereeen aplikasi sangat guna butuh,5.0,Positif,Positif,Shopee
Bagus si bagus aplikasinya namun barang ga sesuai dengan harapan yang di minta!!!,bagus si bagus aplikasi barang sesuai harap di minta,5.0,Positif,Positif,Shopee
"Sekarang aplikasi tokopedia berat, biasanya anteng liat2 produk dalam waktu yang lama, sekarang kalau buka tokopedia lama-lama malah ngelag, ,aplikasi belanja online lainnya normal-normal aja. Segera diperbaiki ya karena tidak membuat nyaman.",sekarang aplikasi tokopedia berat biasa anteng liat produk waktu lama sekarang kalau buka tokopedia lama lama malah ngelag aplikasi belanja online lain normal normal segera baik karena buat nyaman,2.0,Negatif,Negatif,Tokopedia
tiba tiba suka ada barang harga nya 0 rupiah hahahahhaaa,tiba tiba suka barang harga nya rupiah hahahahhaaa,5.0,Positif,Negatif,Shopee
Sangat memudahkan mencari barang yang akan di beli,sangat mudah cari barang akan beli,5.0,Positif,Positif,Shopee
Gk paham sma shopee skrng pengiriman nya lama sekali gk tau kedalanya apa gimna klo yang bayrnya gk COD shopee tolong perbaiki lagi pengiriman nya,paham sma shopee skrng kirim nya lama sekali tau kedalanya apa gimna kalau bayrnya bayar tempat shopee baik kirim nya,1.0,Negatif,Negatif,Shopee
"Paket saya sudah berstatus telah tiba namun belum saya terima dan juga tertulis dalam proses pengiriman, sya tidk sengaja me mencet pesanan selesai, dan saya juga membatalkan pengembalian nya, sya menunggu paket saya namun belum juga tiba",paket sudah status tiba terima tulis proses kirim sya tidk sengaja me mencet pesan selesai juga batal kembali nya sya tunggu paket saya namun belum juga tiba,3.0,Netral,Netral,Shopee
"Turun bintang, karena pembayaran sekarang promonya pake gopay, padahal udah seru pake Ovo bisa pakai Grab juga, kalo pake Gopay harus download Gojek dan promonya juga ga semenarik Ovo. Pokoknya ga suka sama Gopay karena dulu saldo 1jt di sana tiba tiba kena suspend.",turun bintang bayar sekarang promonya pake gopay padahal seru pake ovo pakai grab kalo pake gopay download gojek promonya tarik ovo pokok tidak suka sama gopay dulu saldo jt sana tiba tiba kena suspend,2.0,Negatif,Negatif,Tokopedia
"Lebih selektif lagi untuk mitra nya, banyak barang yang dijual tidak sesuai dengan yang dikirim ke pembeli",lebih selektif untuk mitra nya banyak barang jual sesuai yang kirim beli,4.0,Positif,Positif,Shopee
Apk nya bagus Cuma Gk Bisa Belanja Cod Kalau Mau Belanja Cod Dapat Kurir Sicepat Kurir Sicepat Gk Bisa Ngantarin Ketujuan😥 Tolong Lah Min Kasih Ekpesdisi Lain Ketika Aku Belanja Cod,apk nya bagus cuma bisa belanja bayar tempat kalau mau belanja bayar tempat kurir sicepat kurir sicepat bisa ngantarin tuju lah min kasih ekpesdisi ketika aku belanja bayar tempat,3.0,Netral,Netral,Tokopedia
Sangat kecewa,sangat kecewa,1.0,Negatif,Negatif,Tokopedia
Apalikasinya bagus 🤩🤩dan enak untuk di pake,apalikasinya bagus enak di pake,5.0,Positif,Positif,Shopee
ya apk ini sudah bagus tapi saya gk punya tagihan apapun tapi disuruh bayar tagihan,apk sudah bagus saya punya tagih apa suruh bayar tagih,4.0,Positif,Positif,Tokopedia
Tapi bohong..........,bohong,3.0,Netral,Netral,Tokopedia
"Dengan shopee jual beli bertambah mudah, cukup beli dari rumah, & menunggu barang sampai dirumah.",shopee jual beli tambah mudah cukup beli rumah tunggu barang rumah,5.0,Positif,Positif,Shopee
Tolong di perbaiki lagi kurir SPX nya.. Tidak ada sopan santun nya.. Barang di tunggu-tunggu di lokasi perantara tidak kunjungan datang. Terus gitu di jemput ke Kantor alasan mereka kurir sedang diluar. Apa sih mau nya mereka. (KURIR SPX GIRSANG SIPANGAN BOLON) Terimakasih..,baik kurir spx nya ada sopan santun nya barang tunggu tunggu lokasi antara kunjung datang terus gitu di jemput kantor alas kurir sedang luar apa sih mau nya kurir spx girsang sipangan bolon terimakasih,1.0,Negatif,Negatif,Shopee
Smg shopee bisa menjamin penjual amanah dalam penjualan... selektif dan cepat respon pada penjual yg tidak baik,smg shopee jamin jual amanah jual selektif cepat respon jual tidak baik,5.0,Positif,Positif,Shopee
Lambat dengan pengiriman nya segini area jabodetabek apalagi luar kota,lambat kirim nya gin area jabodetabek luar kota,1.0,Negatif,Negatif,Tokopedia
Okee,okee,2.0,Negatif,Negatif,Tokopedia
Mantap,bagus,4.0,Positif,Positif,Tokopedia
"Paleng nyebelin, kalau lagi iven lolak lolok. Ndah ndoh ,mubeng2 doang. Tak belane melek blas ngak bisa masuk",paleng nyebelin kalau iven lolak lolok ndah ndoh mubeng doang tak belane melek blas ngak masuk,1.0,Negatif,Negatif,Shopee
Gak bisa di download,bisa download,1.0,Negatif,Negatif,Tokopedia
Manfaat Nyata Sangat Membantu Masyarakat,manfaat nyata sangat bantu masyarakat,5.0,Positif,Positif,Tokopedia
Untuk chek out susah,chek out susah,5.0,Positif,Positif,Shopee
Wokey,wokey,1.0,Negatif,Positif,Tokopedia
oke,oke,5.0,Positif,Positif,Tokopedia
"Cs nya buta tidak bisa melihat komplain barang palsu, sekali beli udh di buat kecewa sama barang palsu",cs nya buta bisa lihat komplain barang palsu sekali beli di buat kecewa sama barang palsu,1.0,Negatif,Negatif,Shopee
Gak seru harusnya sama teman ada yg satu liga bareng,seru harus sama teman yang satu liga bareng,3.0,Netral,Netral,Tokopedia
"Saya baru pertama belanja di shopee...tapi sekarang sangat puas karena tokonya amanah...next belanja di shopee lagi...makasih shopee dan jga mkasih toko""nya juga semoga sukses selalu Amiiin 🤲🙏",baru pertama belanja shopee sekarang sangat puas toko amanah next belanja shopee terima kasih shopee mkasih toko nya juga moga sukses selalu amiiin,5.0,Positif,Positif,Shopee
pengiriman cepat dan amanah,kirim cepat amanah,5.0,Positif,Positif,Shopee
Pengembalian uang lambat padahal lagi urgent transaksi pembelian token dibatalkan dari pihak tokopedia ga recom lah buat beli token kalo pas mendadak perlunya,kembali uang lambat padahal urgent transaksi beli token batal pihak tokopedia recom lah buat beli token kalo pas dadak perlu,1.0,Negatif,Negatif,Tokopedia
"Belanja mudah, banyak pilihan dan praktis",belanja mudah banyak pilih praktis,5.0,Positif,Positif,Shopee
Aplikasi lengkap dan banyak voucher potongan dan gratis ongkir,aplikasi lengkap banyak voucher potong gratis ongkos kirim,4.0,Positif,Positif,Shopee
bgus untk apl-nya tpi tlong hilangkan iklan' yg menggangu,bgus untk apl nya tlong hilang iklan menggangu,1.0,Negatif,Negatif,Shopee
"Harga terjangkau,, belanja jadi lebih mudah untuk mencari kebutuhan yang belum tersedia di toko toko di daerah tempat tinggal saya.",harga jangkau belanja jadi lebih mudah cari butuh belum sedia toko toko daerah tempat tinggal,5.0,Positif,Positif,Shopee
Belum.pernah d pcoba siih,pernah d pcoba siih,1.0,Negatif,Negatif,Tokopedia
Emang seru banget aplikasi shopee ini sandi gratis gratis ongkir,emang seru banget aplikasi shopee sandi gratis gratis ongkos kirim,5.0,Positif,Positif,Shopee
Min Bagi Bagi DM ff dong,min bagi dm ff dong,4.0,Positif,Negatif,Tokopedia
mantap,bagus,4.0,Positif,Positif,Tokopedia
Kenapa produk2 Vape tidak keluar ya di aps android? Padahal login akun juga ada umur pemakainya.,produk vape keluar di aps android padahal login akun ada umur maka,3.0,Netral,Netral,Tokopedia
Saya beri bintang 2 krna hadiah nya ngk tau kemana,beri bintang hadiah nya ngk tau,2.0,Negatif,Negatif,Tokopedia
Knp ngga bisa update mentok di 98% balik lagi balik lagi,knp bisa update mentok balik balik,3.0,Netral,Netral,Tokopedia
mantap trimakasih atas appelikasi nya sukses trus shopee,bagus trimakasih atas appelikasi nya sukses trus shopee,5.0,Positif,Positif,Shopee
Murah dan efisien,murah efisien,5.0,Positif,Positif,Shopee
"Belanja online yg menyenangkan di Shopee ini, seller, packing, kurir, baik² gesit, berani murmer 🥰👍😇 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",belanja online senang shopee jual packing kurir baik gesit berani murmer,5.0,Positif,Positif,Shopee
"Cukup mudah, lengkap",cukup mudah lengkap,4.0,Positif,Positif,Shopee
Terima kasih tokopedia semoga sukses selalu 👍,terima kasih tokopedia moga sukses selalu,3.0,Netral,Netral,Tokopedia
Pengalaman sangat baik toko pada respon cepat cuma untuk expedisi kalo spx sangat buruk,alam sangat baik toko respon cepat cuma expedisi kalo spx sangat buruk,5.0,Positif,Positif,Shopee
aplikasi paling TOP,aplikasi paling top,5.0,Positif,Positif,Tokopedia
"aplikasi shopee bagusss untuk berbelanja, harganya terjangkau kualitas baguss",aplikasi shopee bagusss belanja harga jangkau kualitas baguss,5.0,Positif,Positif,Shopee
"Untuk aplikasi oke tapi untuk pengiriman standar di ganti ke spx kurang oke pengirimannya lama, kalo pengiriman sebelumnnya barang 3 hari dah nyampe kalo sekarang setelah di ganti spx barang baru sampai lebih dari 3 hari kadang melebihi estimasi, Tolong di perbaiki di jasa pengirimannya",aplikasi oke untuk kirim standar ganti spx kurang oke kirim lama kalo kirim sebelumnnya barang hari dah nyampe kalo sekarang ganti spx barang baru lebih hari kadang lebih estimasi di baik di jasa kirim,3.0,Netral,Netral,Shopee
"Sangat berguna,trimakasih shopee,bisa cod kapan saja",sangat guna trimakasih shopee bayar tempat kapan,5.0,Positif,Positif,Shopee
Lanjutkan teruz,lanjut teruz,3.0,Netral,Netral,Tokopedia
Manrap,manrap,4.0,Positif,Positif,Tokopedia
shopee cukup okelah..,shopee cukup oke,4.0,Positif,Positif,Shopee
"semoga aja mau bantu... 3 aja dulu, kalo dh d bantu tinggal tambah 2 lgi",moga mau bantu dulu kalo dh d bantu tinggal tambah,3.0,Netral,Netral,Tokopedia
GRATIS ONGKIR DARI MANA? Masa ongkirnya 82.000 ke Sulawesi. Kalau Shoope Cuman 34.000 . Kalau Ditiktok cuman 10.000. Gratis ongkir matamu,gratis ongkos kirim mana masa ongkirnya sulawesi kalau shoope cuman kalau ditiktok cuman gratis ongkos kirim mata,1.0,Negatif,Positif,Tokopedia
good,good,4.0,Positif,Netral,Tokopedia
1 aja dluh,dluh,1.0,Negatif,Positif,Tokopedia
Saya belum ngerti,belum ngerti,2.0,Negatif,Negatif,Tokopedia
"Hei shopee. Bisa tidak jalur di Sumatera khusus nya ke arah medan di buat dua jalur Masa iya harus di putar2 dulu ke daerah pesisir pantai. Dulu setiap saya chek out barang dari medan ke tempat saya, hanya 1 hari Sekarang malah 4 hari Padahal jarak dari medan ke tempat saya hanya 3 jam. Saya tinggal di kab, labura, biasa dari medan langsung ke arah sini di antar paket nya Sekrg tidak, dari medan ke sibirong2, lalu ke Tapanuli, mangkin jauh anjir.",hei shopee jalur sumatera khusus nya arah medan buat jalur masa iya putar dulu daerah pesisir pantai dulu chek out barang medan tempat hanya hari sekarang malah hari padahal jarak medan tempat hanya jam saya tinggal kab labura biasa medan langsung arah sini di antar paket nya sekrg tidak dari medan sibirong lalu tapanuli mangkin jauh anjir,2.0,Negatif,Negatif,Shopee
Tokopedia luar biasa,tokopedia luar biasa,4.0,Positif,Positif,Tokopedia
Cs nya ngegantung kalau memang gak mau kasih jawaban apa di tanyakan tinggal di bilang bikin orang kena potong gaji aja absen telat,cs nya ngegantung kalau memang mau kasih jawab apa tanya tinggal bilang bikin orang kena potong gaji absen telat,2.0,Negatif,Negatif,Tokopedia
"Kok pas cari barang malah kembali ke halaman awal sih, mohon perbaiki dong",kok pas cari barang malah ke halaman awal sih mohon baik dong,2.0,Negatif,Negatif,Tokopedia
Saya sangat suka dengan shopee belanja online mudah dan murah,sangat suka shopee belanja online mudah murah,5.0,Positif,Positif,Shopee
ok,oke,3.0,Netral,Positif,Tokopedia
"Jadi malas aku belanja di Shopee setiap nyari brg selalu muncul yg lain2. Nyarinya apa munculnya apa. Ke mana2. Dah gitu selalu ngerekomendasiin toko yg ga bgt brgnya. Masa harus retur terus??? Kandangkan kita beli brg butuh, pas dtg zonk, brp kali aq beli keran cebok di Shopee pada bocor, beli sepatu padahal di mall seller tp yg dtg di luar espektasi. Jelek. Sumpah Shopee dah ga kaya dl.. Yg jualan dsini asal laku doang sekrg mah.. Kualitas 0.",jadi malas aku belanja shopee nyari barang selalu muncul lain nyarinya apa muncul apa mana dah gitu selalu ngerekomendasiin toko banget brgnya masa retur terus kandang beli barang butuh pas dtg zonk brp kali aq beli keran cebok shopee bocor beli sepatu padahal mall jual dtg luar espektasi buruk sumpah shopee dah tidak kaya dl yang jual dsini asal laku doang sekrg mah kualitas,1.0,Negatif,Negatif,Shopee
"Harga udah oke..pilihan banyak,.....cuman tidak ada konfirmasi pengantaran kerumah aja...dan tidak ada no.telpon kurir tercantum. Terima kasih shopee",harga oke pilih banyak cuman ada konfirmasi antar rumah dan ada no telpon kurir cantum terima kasih shopee,1.0,Negatif,Negatif,Shopee
"Sangat membantu, terimakasih",sangat bantu terimakasih,5.0,Positif,Positif,Shopee
"Hemat waktu, harga lebih murah, kualitas bagus dan terjamin",hemat waktu harga lebih murah kualitas bagus jamin,5.0,Positif,Positif,Shopee
Baik buat yg hemat uang hnya di shopee,baik buat hemat uang hnya shopee,5.0,Positif,Positif,Shopee
bener bener gratis,bener bener gratis,3.0,Netral,Netral,Tokopedia
gem ini kelebihan iklan,gem lebih iklan,1.0,Negatif,Negatif,Shopee
Mantapppppppp,mantapppppppp,4.0,Positif,Positif,Tokopedia
Lama downloadny,lama downloadny,4.0,Positif,Positif,Tokopedia
"Min cepat dong proses pelaporan sertifikat, gak biasanya Tokopedia x Skill Academy lelet gini! Ayo la kerjasamanya udh mau seminggu ni belum ada kabar juga.",min cepat dong proses lapor sertifikat biasa tokopedia x skill academy lelet gin ayo la kerjasamanya mau minggu belum kabar,3.0,Netral,Netral,Tokopedia
Sangat mudah dan promosi nya,sangat mudah promosi nya,5.0,Positif,Positif,Shopee
Asik banyak gratis ongkir dan diskonnya,asik banyak gratis ongkos kirim diskon,5.0,Positif,Positif,Shopee
"Kenapa dijakarta nyari barang yg keluar banyak yg luar Jakarta giliran pas beli baru nongol toko"" dijakarta heran... Admin agak g beres kaya dulu...ayo admin seperti dulu lagi",dijakarta nyari barang keluar banyak luar jakarta gilir pas beli baru nongol toko dijakarta heran admin tidak beres kaya dulu ayo admin dulu,3.0,Netral,Negatif,Tokopedia
"Knp.gak COD spt toko sebelah.. padahal aku suka tokped, layanan ok, grts.ongkir, blm.lagi bnyk promo². Tp.syg gk.ad COD ny 🙏🙏",knp bayar tempat spt toko belah padahal aku suka tokped layan oke grts ongkos kirim lagi bnyk promosi syg ad bayar tempat ny,4.0,Positif,Positif,Tokopedia
Good,good,4.0,Positif,Netral,Tokopedia
top up ada biaya admin bikin males,top up biaya admin bikin males,1.0,Negatif,Negatif,Tokopedia
Aplikasi kadang terlalu berat untuk di buka. Terima kasih.,aplikasi kadang terlalu berat di buka terima kasih,4.0,Positif,Positif,Shopee
Aplikasi ini bagus (・∀・),aplikasi bagus,5.0,Positif,Positif,Tokopedia
Abis di perbarui kok gabisa masukin produk ke keranjang sih?,abis baru kok gabisa masukin produk keranjang sih,3.0,Netral,Netral,Tokopedia
Shopee ajg masa mau blanja pake vocer harus pake Mengaitkan dulu ke seabank/spaylater gue ini belum punya KTP boss,shopee ajg masa mau blanja pake vocer pake kait dulu seabank spaylater ini punya ktp boss,4.0,Positif,Positif,Shopee
"Hapus aja fitur double order d shopeefood, bikin yang laper tambah kelaperan, dateng2 makanan udah dingin, pesen mi ayam mi ny keburu megah, segitu padahal mesennya kuah d pisah, gimana kalo kuah ny jadi satu udah jadi bubur kali gara2 driver job double! Terus yg bikin kesel kadang harga ubah2, kita tinggal keluar apk sbntr buat TF shopeepay malah harga ny nambah2. Kadang TF pas2an pas mau co harga naik 1k, giliran udah TF lebihin 1k harga naik jadi 2k.",hapus fitur double order d shopeefood bikin laper tambah kelaperan dateng makan dingin sen mi ayam mi ny keburu megah segitu padahal mesennya kuah d pisah gimana kalo kuah ny jadi satu jadi bubur kali gara driver job double terus bikin kesel kadang harga ubah tinggal keluar apk sbntr buat tf shopeepay malah harga ny nambah kadang tf pas an pas mau co harga naik k gilir tf lebihin k harga naik jadi k,1.0,Negatif,Negatif,Shopee
Pengajuan shoope paylater selalu gagal kenapa?,aju shoope paylater selalu gagal,5.0,Positif,Positif,Shopee
Mudah mencari keperluan.,mudah cari perlu,5.0,Positif,Positif,Shopee
Cukup membantu,cukup bantu,3.0,Netral,Positif,Tokopedia
Pelayan pembatalan dan live chat lama tidak nyambung.beli barang mau di gunakan gara gara barabg kosong pembatal jadi lama dari awal pesan sampai 3 harian .paraj kapok belanja di shope,layan batal live chat lama nyambung beli barang mau guna gara gara barabg kosong batal jadi lama awal pesan hari paraj kapok belanja shope,4.0,Positif,Positif,Shopee
Trimaksih shopee.. jurus mudah berbelnja murah😁👍👍,trimaksih shopee jurus mudah berbelnja murah,5.0,Positif,Positif,Shopee
Apk sngat bguss,apk sngat bguss,4.0,Positif,Positif,Tokopedia
Mau cek out barang aja sangat ruwet gak kayak dulu gampang,mau cek out barang sangat ruwet kayak dulu gampang,3.0,Netral,Negatif,Shopee
saya kalo pake voucher selalu di batalkan otomatis,kalo pake voucher selalu batal otomatis,2.0,Negatif,Negatif,Tokopedia
"Aplikasi jos, barang yg dijual murah murah, cocok bagi kaum rebahan👍",aplikasi jos barang jual murah murah cocok kaum rebah,5.0,Positif,Positif,Shopee
Belanja dishopee online sdh sering sya belanja barang....tp saya lebih suka atau senang dan mengutamakan sistem pembayaran COD....trimkasih.klo COD berarti saling percya khususnya penjual.,belanja dishopee online sering sya belanja barang saya lebih suka senang utama sistem bayar bayar tempat trimkasih kalau bayar tempat arti saling percya khusus jual,5.0,Positif,Positif,Shopee
mantap lah,bagus lah,3.0,Netral,Netral,Tokopedia
Recommended,recommended,5.0,Positif,Positif,Tokopedia
ga bisa ganti username.....payah,bisa ganti username payah,1.0,Negatif,Negatif,Tokopedia
"Yang bikin saya setia ama toped ya gara2 bisa gabungin vocer ongkir sama promo. Sekarang malah gak bisa, payah",bikin setia ama toped gara gabungin vocer ongkos kirim sama promosi sekarang malah bisa payah,1.0,Negatif,Negatif,Tokopedia
"Tolong dong nomor kurir dicantumkan di informasi pengiriman, jadi kalo customer mau hubungi kurirnya gampang. Kaya tiktok gituloh ada no kurirnya, masa gitu aja gabisa. Katanya e-commerce terbesar di Indonesia, masa gada dicantumkan no kurir sih",dong nomor kurir cantum informasi kirim jadi kalo customer mau hubung kurir gampang kaya tiktok gituloh no kurir masa gitu gabisa kata e commerce besar indonesia masa gada cantum no kurir sih,1.0,Negatif,Negatif,Shopee
Banyak pilihan hampir semua kebutuhan ada sangat melengkapi kebutuhan rumah tangga mencakup semua wilayah.bahkan bisa memilih wilayah sesuai keinginan.sangat memuaskan.tinggal mencari tahu sendiri penjualnya amanah apa tidak sangat memudahkan.terimakasih shopee,banyak pilih hampir semua butuh sangat lengkap butuh rumah tangga cakup semua wilayah bahkan pilih wilayah sesuai ingin sangat muas tinggal cari tahu sendiri jual amanah apa sangat mudah terimakasih shopee,5.0,Positif,Positif,Shopee
"Sekarang pengiriman tambah lama, dulu 3 hr udah nyampe, sekarang 6 hari blum nyampe, tolong ditegur kurir yg gak kompeten, khususnya anter ja. Maaf bintangnya dr 5 turun ke 2",sekarang kirim tambah lama dulu hr nyampe sekarang hari nyampe tegur kurir tidak kompeten khusus anter ja maaf bintang turun,2.0,Negatif,Negatif,Tokopedia
"Kecewa dengan shoope, estimasi sampai tanggal 7 tapi saya cek malah diganti tanggal 8 dan juga dijanjikan diberikan voucher jika tanggal 7 tidak sampai, tetapi saya tidak mendapatkannya. Katanya ""GTW"" Garansi Tepat Waktu, dulu saya juga pernah mengalami hal yang sama tetapi sekarang terulang kembali. Kecewa dengan shoope, sekarang saya pindah ke platform TOKOPEDIA",kecewa shoope estimasi tanggal cek malah ganti tanggal juga janji beri voucher tanggal sampai dapat kata gtw garansi tepat waktu dulu saya juga pernah alami yang sama sekarang ulang kecewa shoope sekarang saya pindah platform tokopedia,1.0,Negatif,Negatif,Shopee
"Pencairan S PINJAM 750 ribu,lalu yang masuk ke rekening 740 ribu dan total pelunasan 917 ribu, pihak SHOPEE untuk 177 ribu. Mohon dikurangi bunganya dan pihak SHOPEE wajib instrospeksi",cair s pinjam ribu lalu masuk rekening ribu total lunas ribu pihak shopee ribu mohon rang bunga pihak shopee wajib instrospeksi,3.0,Netral,Netral,Shopee
ambil tidak terpendek collection bunda ya nanti ada di etalasenya nomor 2 ya,ambil pendek collection bunda nanti di etalase nomor,5.0,Positif,Positif,Shopee
Saya suka sekali dengan aplikasi ini dan saya selalu belanja online di shopee karna barang yah bagus¹ dan berkualitas dan harga yah pun terjangkau,suka sekali aplikasi selalu belanja online shopee barang yah bagus kualitas dan harga yah jangkau,5.0,Positif,Positif,Shopee
Semoga ga jadi beban lgi,moga jadi beban,4.0,Positif,Positif,Tokopedia
"Discount banyak didapat di setiap hari,pelayanan jg bagus",discount banyak dapat tiap hari layan bagus,5.0,Positif,Positif,Shopee
"Sering telat, pesanan lbih 5 hari baru dtang",sering telat pesan lbih hari baru dtang,2.0,Negatif,Negatif,Shopee
"Setelah pajak masuk ke shopee, apa-apa jadi mahal. Dari sisi penjual apalagi... Banyak potongan admin+pajak, jadi terpaksa harganya dinaikin tinggi sekali. Mana daya beli masyarakat berkurang lagi.... Duh gini amat pemerintah skrg, apa-apa dipajekin",pajak masuk shopee apa apa jadi mahal sisi jual banyak potong admin pajak jadi paksa harga dinaikin tinggi sekali mana daya beli masyarakat kurang duh gin perintah skrg apa apa dipajekin,3.0,Netral,Netral,Shopee
good,good,5.0,Positif,Netral,Tokopedia
Tokopedia 😍😍,tokopedia,5.0,Positif,Positif,Tokopedia
"Ni kenapa sih, alamat gw selalu salah tempatnya",kenapa sih alamat selalu salah tempat,1.0,Negatif,Positif,Shopee
Shope tambah Parak. D batal. Akun saya gak bisa cod tempat semua nggak' bisa parah,shope tambah parak d batal akun bayar tempat tempat semua tidak bisa parah,1.0,Negatif,Negatif,Shopee
"Terimakasih shopy udah membantu aku belanja onlene barang bagus dan lengkap semua y ad ap yg aku cari semua leng kap sehat semua ya, Tapi sekalilagi yg aku mintak bantu am Shopy tolong aktif cod cek dulu🙏",terimakasih shopy bantu aku belanja onlene barang bagus lengkap semua ad ap aku cari semua leng kap sehat semua tapi sekalilagi aku mintak bantu am shopy aktif bayar tempat cek dulu,5.0,Positif,Positif,Shopee
"Barang kemaren blum d antar lagi gara2 waktu pengiriman tidak cukup tapi barang yg baru nyampe gudang sudah nyampe,,gimana sih cara pipo barangnya shoppe express",barang kemaren d antar gara waktu kirim cukup barang baru nyampe gudang nyampe gimana sih cara pipo barang shoppe express,3.0,Netral,Netral,Shopee
sering dapat potongan harga,sering potong harga,5.0,Positif,Positif,Shopee
Shopee tuh gimana ya. mau bayar paylater aja susah bgt. top up dibatesin. bayar di indomaret gak bs karena besar. mau dibayar gk sih. masa top up cm bs nyicil sejuta2,shopee tuh gimana mau bayar paylater susah banget top up dibatesin bayar indomaret besar mau bayar sih masa top up cm bisa nyicil juta,1.0,Negatif,Negatif,Shopee
sukaaaaaaa,sukaaaaaaa,5.0,Positif,Positif,Tokopedia
good,good,4.0,Positif,Netral,Tokopedia
Tokopedia tolong dong ekspedisi Anteraja diganti dengan eskpedisi lainnya aja yang ga lelet. Masih banyak ekspedisi lainnya yang baik dan cepat prosesnya.,tokopedia dong ekspedisi anteraja ganti eskpedisi lain lelet banyak ekspedisi lain yang baik cepat proses,1.0,Negatif,Negatif,Tokopedia
"Seller jarang update stok, pas sebelum checkout stok ada, sesudah checkout stok habis",jual jarang update stok pas checkout stok sudah checkout stok habis,2.0,Negatif,Negatif,Tokopedia
Belanja di shopee gak pernah mengecewakan 👍🏻,belanja shopee pernah kecewa,5.0,Positif,Positif,Shopee
"semenjak tokopedia x gojek makin malas pakainya, tolong woii perhatiin juga pengguna yg tinggal di perkampungan, sumpah promo gojeknya ga kepake sama sekali, kembalikan promo² dari OVO !!!!",semenjak tokopedia x gojek makin malas pakai woii perhatiin guna tinggal kampung sumpah promosi gojek kepake sama sekali kembali promosi ovo,1.0,Negatif,Negatif,Tokopedia
lumayan banyak promonya,lumayan banyak promonya,4.0,Positif,Positif,Tokopedia
mantap ki aplikasi no debat,bagus ki aplikasi no debat,5.0,Positif,Positif,Shopee
Sering kecewa dengan pilihan pengiriman sameday yg sering telat hingga lebih satu minggu,sering kecewa pilih kirim sameday sering telat hingga lebih satu minggu,2.0,Negatif,Negatif,Tokopedia
sangat bagus untuk membeli belanjaan online,sangat bagus beli belanja online,5.0,Positif,Positif,Shopee
Sangat bermanfaat,sangat manfaat,4.0,Positif,Positif,Tokopedia
Gratis ongkir berubah jadi voucher 😆😆,gratis ongkos kirim ubah jadi voucher,1.0,Negatif,Negatif,Tokopedia
mantap,bagus,4.0,Positif,Positif,Tokopedia
"Tolong kurir d tegas lagi bos masa pesanan gagal2 mulu wilayah sirampog, bumiayu, brebes",kurir d tegas bos masa pesan gagal mulu wilayah sirampog bumiayu brebes,2.0,Negatif,Negatif,Shopee
Singkat saja Puas banget aplikasinyatapi kadang kadang barang gk sesuai di gambar 🗿,singkat puas banget aplikasinyatapi kadang kadang barang sesuai gambar,5.0,Positif,Positif,Shopee
sukset terus,sukset terus,5.0,Positif,Positif,Tokopedia
"Apk suka ngelag pdhl udh versi trbaru, dia sangat telat merespon saat d sentuh, apk ini lebih berat dr game online, notifnya bikin smartphone bisa koma bbrapa saat",apk suka ngelag pdhl versi trbaru sangat telat merespon d sentuh apk lebih berat game online notifnya bikin smartphone koma bbrapa,2.0,Negatif,Negatif,Shopee
keren,keren,4.0,Positif,Positif,Tokopedia
Kenapa gopay coins gk bisa dipakek ya Padahal jumlah gopay coins sama barang yg mau dibeli dah pas☹☹☹,gopay coins bisa dipakek padahal jumlah gopay coins sama barang mau beli dah pas,2.0,Negatif,Negatif,Tokopedia
